"stadtname";"url_stadt";"max_page"
"Berlin";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Berlin;;;;;&geocoordinates=52.51051;13.43068;50.0&pagenumber=";241
"Hamburg";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Hamburg;;;1276006001;Hamburg;&geocoordinates=53.55384;9.99165;50.0&pagenumber=";41
"Muenchen";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Muenchen;;;1276002059;Bayern;&geocoordinates=48.15437;11.54199;50.0&pagenumber=";70
"Koeln";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Koeln;;;1276010028;Nordrhein-Westfalen;&geocoordinates=50.95797;6.96838;50.0&pagenumber=";91
"Frankfurt am Main";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Frankfurt%20am%20Main;;;1276007004;Hessen;&geocoordinates=50.11089;8.67949;50.0&pagenumber=";84
"Stuttgart";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Stuttgart;;;1276001039;Baden-Wuerttemberg;&geocoordinates=48.77899;9.17686;50.0&pagenumber=";87
"Duesseldorf";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Duesseldorf;;;1276010012;Nordrhein-Westfalen;&geocoordinates=51.23824;6.81513;50.0&pagenumber=";119
"Leipzig";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Leipzig;;;1276013012;Sachsen;&geocoordinates=51.34091;12.38765;50.0&pagenumber=";45
"Dortmund";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Dortmund;;;1276010009;Nordrhein-Westfalen;&geocoordinates=51.50805;7.4708;50.0&pagenumber=";65
"Essen";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Essen;;;1276010015;Nordrhein-Westfalen;&geocoordinates=51.44175;7.01656;50.0&pagenumber=";105
"Bremen";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Bremen;;;1276005001;Bremen;&geocoordinates=53.12046;8.73764;50.0&pagenumber=";17
"Dresden";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Dresden;;;1276013007;Sachsen;&geocoordinates=51.07714;13.77372;50.0&pagenumber=";20
"Hannover";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Hannover;;;1276009017;Niedersachsen;&geocoordinates=52.37971;9.76154;50.0&pagenumber=";29
"Nuernberg";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Nuernberg;;;1276002065;Bayern;&geocoordinates=49.436;11.13459;50.0&pagenumber=";22
"Duisburg";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Duisburg;;;1276010010;Nordrhein-Westfalen;&geocoordinates=51.44718;6.72541;50.0&pagenumber=";96
"Bochum";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Bochum;;;1276010004;Nordrhein-Westfalen;&geocoordinates=51.47009;7.22612;50.0&pagenumber=";97
"Wuppertal";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Wuppertal;;;1276010054;Nordrhein-Westfalen;&geocoordinates=51.24109;7.1627;50.0&pagenumber=";124
"Bielefeld";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Bielefeld;;;1276010003;Nordrhein-Westfalen;&geocoordinates=52.01515;8.52031;50.0&pagenumber=";17
